Ground Camera to Satellite Center Distance Analysis
============================================================

Total samples: 33569
Valid projections: 30100
Success rate: 89.67%

Distance Statistics (pixels):
  Mean: 18.19 ± 19.23
  Median: 9.84
  Min: 0.00
  Max: 98.01

Individual Results:
  Sample 388: 7.31 pixels
  Sample 389: 16.87 pixels
  Sample 390: 10.02 pixels
  Sample 391: 4.97 pixels
  Sample 392: 8.34 pixels
  Sample 393: 1.86 pixels
  Sample 394: 18.80 pixels
  Sample 395: 13.28 pixels
  Sample 396: 11.45 pixels
  Sample 397: 17.44 pixels
  Sample 398: 24.30 pixels
  Sample 399: 21.83 pixels
  Sample 400: 26.40 pixels
  Sample 401: 10.61 pixels
  Sample 402: 8.09 pixels
  Sample 403: 2.99 pixels
  Sample 404: 10.63 pixels
  Sample 405: 6.60 pixels
  Sample 406: 1.67 pixels
  Sample 407: 29.08 pixels
  Sample 408: 48.41 pixels
  Sample 409: 20.22 pixels
  Sample 410: 44.03 pixels
  Sample 411: 14.16 pixels
  Sample 412: 4.49 pixels
  Sample 413: 8.70 pixels
  Sample 414: 2.29 pixels
  Sample 415: 12.67 pixels
  Sample 416: 23.77 pixels
  Sample 417: 12.50 pixels
  Sample 418: 15.18 pixels
  Sample 419: 13.36 pixels
  Sample 420: 3.98 pixels
  Sample 421: 2.99 pixels
  Sample 422: 2.29 pixels
  Sample 423: 5.31 pixels
  Sample 424: 0.79 pixels
  Sample 425: 12.84 pixels
  Sample 426: 1.67 pixels
  Sample 427: 13.43 pixels
  Sample 428: 8.48 pixels
  Sample 429: 2.83 pixels
  Sample 430: 6.48 pixels
  Sample 431: 15.20 pixels
  Sample 432: 10.94 pixels
  Sample 433: 27.24 pixels
  Sample 434: 14.54 pixels
  Sample 435: 7.74 pixels
  Sample 436: 17.95 pixels
  Sample 437: 24.22 pixels
  Sample 438: 15.91 pixels
  Sample 439: 6.21 pixels
  Sample 440: 43.12 pixels
  Sample 441: 31.47 pixels
  Sample 442: 35.89 pixels
  Sample 443: 11.40 pixels
  Sample 444: 14.06 pixels
  Sample 445: 2.83 pixels
  Sample 446: 3.24 pixels
  Sample 447: 1.50 pixels
  Sample 448: 3.61 pixels
  Sample 449: 2.90 pixels
  Sample 450: 13.62 pixels
  Sample 451: 27.39 pixels
  Sample 452: 8.56 pixels
  Sample 453: 18.47 pixels
  Sample 454: 3.93 pixels
  Sample 455: 2.00 pixels
  Sample 456: 5.00 pixels
  Sample 457: 12.27 pixels
  Sample 458: 7.03 pixels
  Sample 459: 15.43 pixels
  Sample 460: 2.00 pixels
  Sample 461: 7.08 pixels
  Sample 462: 10.57 pixels
  Sample 463: 11.40 pixels
  Sample 464: 17.01 pixels
  Sample 465: 18.92 pixels
  Sample 466: 2.83 pixels
  Sample 467: 1.76 pixels
  Sample 468: 29.74 pixels
  Sample 469: 40.75 pixels
  Sample 470: 53.34 pixels
  Sample 471: 43.07 pixels
  Sample 472: 9.20 pixels
  Sample 473: 5.72 pixels
  Sample 474: 1.24 pixels
  Sample 475: 4.58 pixels
  Sample 476: 4.73 pixels
  Sample 477: 11.24 pixels
